订单ID,订单日期,产品类别,产品名称,单价,数量,销售额,折扣率,地区,销售渠道,支付方式,客户满意度,配送天数
ORD202400235,2024-06-13,家居用品,记忆枕,154.72,1,131.51,0.15,华东,线下门店,微信支付,4.0,2
ORD202400236,2024-06-08,美妆个护,电动牙刷,204.86,3,491.66,0.2,华东,线上商城,银行卡,4.7,2
ORD202400237,2024-05-20,家居用品,记忆枕,150.23,2,300.46,0.0,华南,线上商城,微信支付,5.0,1
ORD202400238,2024-05-12,美妆个护,面膜礼盒,121.62,1,121.62,0.0,西南,直播带货,支付宝,4.5,4
ORD202400239,2024-12-15,电子产品,蓝牙耳机,271.49,2,542.98,0.0,华东,直播带货,货到付款,4.0,2
ORD202400240,2024-08-23,家居用品,记忆枕,141.1,1,126.99,0.1,华南,线上商城,货到付款,3.9,4
ORD202400241,2024-12-16,电子产品,智能手机,3042.83,1,2738.55,0.1,华中,线上商城,微信支付,3.6,4
ORD202400242,2024-11-03,服装鞋帽,T恤,83.28,2,141.58,0.15,西北,线上商城,微信支付,4.0,4
ORD202400243,2024-04-23,美妆个护,电动牙刷,258.05,2,490.3,0.05,西南,线下门店,银行卡,4.3,4
ORD202400244,2024-04-03,食品饮料,红茶礼盒,115.1,1,115.1,0.0,西南,线上商城,微信支付,4.9,3
ORD202400245,2024-11-20,服装鞋帽,帽子,47.93,3,115.03,0.2,华东,直播带货,微信支付,5.0,1
ORD202400246,2024-10-18,食品饮料,橄榄油,87.51,3,262.53,0.0,西南,线上商城,微信支付,,4
ORD202400247,2024-03-27,服装鞋帽,运动鞋,338.94,2,677.88,0.0,华东,线上商城,微信支付,,1
ORD202400248,2024-01-08,食品饮料,进口零食包,59.87,2,119.74,0.0,华东,线下门店,支付宝,4.9,3
ORD202400249,2024-05-28,服装鞋帽,帽子,56.59,1,56.59,0.0,华北,线下门店,支付宝,5.0,3
ORD202400250,2024-03-08,家居用品,空气炸锅,390.22,1,370.71,0.05,华南,直播带货,支付宝,3.9,3
ORD202400251,2024-02-25,美妆个护,面膜礼盒,112.38,1,101.14,0.1,华北,线上商城,微信支付,5.0,3
ORD202400252,2024-12-05,服装鞋帽,帽子,56.74,1,56.74,0.0,华北,直播带货,支付宝,3.8,3
ORD202400253,2024-04-13,家居用品,记忆枕,140.79,1,126.71,0.1,华中,直播带货,微信支付,4.2,4
ORD202400254,2024-09-09,电子产品,智能手机,3468.35,1,3468.35,0.0,华中,直播带货,微信支付,4.0,4
ORD202400255,2024-05-28,家居用品,保温杯,63.56,1,63.56,0.0,华东,线上商城,微信支付,5.0,1
ORD202400256,2024-07-09,食品饮料,咖啡豆,66.31,1,59.68,0.1,华东,线上商城,银行卡,4.3,2
ORD202400257,2024-01-31,食品饮料,咖啡豆,66.08,4,237.89,0.1,西南,直播带货,支付宝,4.4,4
ORD202400258,2024-03-07,服装鞋帽,牛仔裤,159.1,1,159.1,0.0,华东,直播带货,支付宝,4.1,3
ORD202400259,2024-12-08,食品饮料,进口零食包,66.46,2,132.92,0.0,华北,直播带货,微信支付,3.7,3
ORD202400260,2024-11-09,电子产品,蓝牙耳机,260.43,1,221.37,0.15,华中,线上商城,微信支付,5.0,3
ORD202400261,2024-07-25,食品饮料,坚果礼盒,86.92,3,234.68,0.1,华东,线上商城,支付宝,4.4,3
ORD202400262,2024-10-08,电子产品,智能手机,3480.11,5,16530.52,0.05,华中,线上商城,微信支付,5.0,2
ORD202400263,2024-06-18,服装鞋帽,帽子,56.65,2,101.97,0.1,华南,线上商城,微信支付,5.0,3
ORD202400264,2024-09-24,家居用品,空气炸锅,328.22,1,328.22,0.0,西南,直播带货,微信支付,4.4,4
ORD202400265,2024-04-07,美妆个护,面膜礼盒,140.03,1,140.03,0.0,西南,线上商城,微信支付,4.0,4
ORD202400266,2024-08-09,食品饮料,橄榄油,110.48,3,331.44,0.0,华南,线上商城,微信支付,4.5,4
ORD202400267,2024-08-02,食品饮料,咖啡豆,69.91,5,332.07,0.05,华北,线上商城,微信支付,4.2,2
ORD202400268,2024-12-30,美妆个护,防晒霜,98.78,1,79.02,0.2,华南,直播带货,货到付款,4.5,4
ORD202400269,2024-11-22,家居用品,空气炸锅,409.73,2,655.57,0.2,华南,直播带货,微信支付,2.9,4
ORD202400270,2024-09-24,电子产品,充电宝,107.23,2,214.46,0.0,华东,直播带货,货到付款,4.7,2
ORD202400271,2024-10-04,电子产品,充电宝,105.69,3,317.07,0.0,西南,线上商城,支付宝,3.2,4
ORD202400272,2024-07-17,服装鞋帽,T恤,90.04,1,85.54,0.05,华东,线下门店,银行卡,5.0,1
ORD202400273,2024-10-28,服装鞋帽,帽子,49.99,2,99.98,0.0,华东,线上商城,微信支付,5.0,2
ORD202400274,2024-10-11,家居用品,吸尘器,768.9,1,730.45,0.05,华北,线下门店,支付宝,4.3,3
ORD202400275,2024-06-03,服装鞋帽,帽子,55.83,1,50.25,0.1,华北,线下门店,微信支付,4.3,3
ORD202400276,2024-04-19,美妆个护,香水,402.46,1,362.21,0.1,西北,线下门店,货到付款,3.2,6
ORD202400277,2024-11-14,家居用品,空气炸锅,400.81,1,400.81,0.0,华北,线上商城,支付宝,3.4,4
ORD202400278,2024-01-23,家居用品,吸尘器,709.57,1,709.57,0.0,华东,线下门店,微信支付,5.0,2
ORD202400279,2024-08-05,食品饮料,咖啡豆,75.85,2,136.53,0.1,华南,线下门店,微信支付,4.6,4
ORD202400280,2024-05-08,服装鞋帽,帽子,60.31,4,217.12,0.1,华北,直播带货,微信支付,4.2,4
ORD202400281,2024-10-26,电子产品,智能手机,3063.39,1,2910.22,0.05,西南,线上商城,支付宝,3.6,4
ORD202400282,2024-09-30,家居用品,记忆枕,163.35,3,465.55,0.05,东北,线上商城,微信支付,3.2,5
ORD202400283,2024-10-10,食品饮料,咖啡豆,66.52,1,59.87,0.1,华北,线下门店,支付宝,3.9,2
ORD202400284,2024-09-19,电子产品,蓝牙耳机,238.22,3,714.66,0.0,华东,直播带货,微信支付,4.4,4
ORD202400285,2024-02-07,家居用品,空气炸锅,351.58,1,316.42,0.1,东北,线上商城,微信支付,4.5,4
ORD202400286,2024-06-17,服装鞋帽,T恤,83.58,1,66.86,0.2,华北,线上商城,微信支付,4.6,3
ORD202400287,2024-07-03,电子产品,智能手表,1224.7,1,1163.46,0.05,西南,线上商城,支付宝,4.4,3
ORD202400288,2024-04-10,家居用品,空气炸锅,405.93,4,1623.72,0.0,西南,线上商城,微信支付,4.2,4
ORD202400289,2024-11-30,美妆个护,香水,406.45,4,1300.64,0.2,华南,线上商城,微信支付,4.8,2
ORD202400290,2024-11-10,美妆个护,防晒霜,84.75,1,67.8,0.2,东北,直播带货,货到付款,2.9,5
ORD202400291,2024-02-02,家居用品,吸尘器,647.13,1,614.77,0.05,华北,线下门店,银行卡,4.3,4
ORD202400292,2024-05-20,食品饮料,红茶礼盒,112.59,2,202.66,0.1,华南,线上商城,微信支付,4.0,3
ORD202400293,2024-06-29,食品饮料,红茶礼盒,109.57,1,87.66,0.2,华东,线下门店,微信支付,5.0,2
ORD202400294,2024-11-04,美妆个护,面膜礼盒,136.28,1,122.65,0.1,华南,线上商城,微信支付,4.6,3
ORD202400295,2024-10-20,服装鞋帽,运动鞋,353.21,1,353.21,0.0,华东,线上商城,支付宝,4.4,3
ORD202400296,2024-12-04,食品饮料,坚果礼盒,80.52,2,136.88,0.15,华中,线上商城,银行卡,4.3,2
ORD202400297,2024-05-15,家居用品,保温杯,73.24,2,146.48,0.0,华东,线上商城,支付宝,5.0,2
ORD202400298,2024-02-19,家居用品,台灯,92.69,3,278.07,0.0,华东,直播带货,银行卡,4.5,3
ORD202400299,2024-08-03,家居用品,空气炸锅,402.53,1,362.28,0.1,西南,线上商城,微信支付,3.7,3
ORD202400300,2024-09-01,美妆个护,面膜礼盒,121.55,3,328.19,0.1,华东,线上商城,微信支付,4.6,3
ORD202400301,2024-06-10,服装鞋帽,羽绒服,466.15,2,839.07,0.1,华东,线上商城,微信支付,4.0,1
ORD202400302,2024-10-12,服装鞋帽,T恤,80.4,1,76.38,0.05,华南,直播带货,微信支付,4.4,5
ORD202400303,2024-03-23,电子产品,笔记本电脑,5626.98,1,5626.98,0.0,华东,线下门店,支付宝,5.0,2
ORD202400304,2024-04-23,家居用品,台灯,77.52,1,69.77,0.1,华南,线上商城,微信支付,4.3,1
ORD202400305,2024-04-13,食品饮料,进口零食包,61.76,1,61.76,0.0,华南,直播带货,支付宝,3.9,2
ORD202400306,2024-12-08,服装鞋帽,帽子,50.06,1,50.06,0.0,华中,线上商城,微信支付,4.6,2
ORD202400307,2024-04-09,服装鞋帽,牛仔裤,184.04,1,165.64,0.1,华北,线上商城,微信支付,5.0,2
ORD202400308,2024-10-21,家居用品,记忆枕,170.97,2,341.94,0.0,西南,线下门店,微信支付,5.0,2
ORD202400309,2024-11-20,美妆个护,洗发水,63.18,1,56.86,0.1,华北,线上商城,微信支付,4.4,2
ORD202400310,2024-06-24,电子产品,蓝牙耳机,258.17,1,206.54,0.2,华东,线下门店,微信支付,4.2,3
ORD202400311,2024-04-15,家居用品,吸尘器,825.68,1,825.68,0.0,华东,线上商城,货到付款,5.0,2
ORD202400312,2024-07-09,美妆个护,电动牙刷,257.47,3,733.79,0.05,华北,线下门店,银行卡,5.0,2
ORD202400313,2024-09-01,食品饮料,坚果礼盒,88.07,1,88.07,0.0,华北,线上商城,微信支付,5.0,2
ORD202400314,2024-07-04,服装鞋帽,T恤,71.59,1,68.01,0.05,华北,直播带货,支付宝,4.6,3
ORD202400315,2024-05-23,服装鞋帽,帽子,48.91,2,97.82,0.0,西南,直播带货,微信支付,4.2,3
ORD202400316,2024-08-30,食品饮料,咖啡豆,73.23,1,69.57,0.05,西南,线上商城,微信支付,4.3,3
ORD202400317,2024-08-31,食品饮料,坚果礼盒,86.68,1,82.35,0.05,华北,线上商城,微信支付,5.0,2
ORD202400318,2024-10-22,服装鞋帽,帽子,49.63,3,141.45,0.05,华东,线上商城,微信支付,5.0,2
ORD202400319,2024-03-26,美妆个护,香水,410.15,2,738.27,0.1,西南,线上商城,支付宝,4.5,4
ORD202400320,2024-05-18,食品饮料,红茶礼盒,118.18,1,106.36,0.1,华北,线上商城,支付宝,4.3,2
ORD202400321,2024-03-26,服装鞋帽,羽绒服,451.95,3,1355.85,0.0,华东,线上商城,微信支付,4.7,3
ORD202400322,2024-06-07,家居用品,保温杯,63.89,1,51.11,0.2,西南,线上商城,微信支付,3.8,4
ORD202400323,2024-05-19,服装鞋帽,运动鞋,387.89,2,775.78,0.0,华南,线上商城,微信支付,3.7,4
ORD202400324,2024-09-03,服装鞋帽,羽绒服,510.93,1,485.38,0.05,华东,线上商城,微信支付,4.7,2
ORD202400325,2024-09-08,食品饮料,橄榄油,92.11,2,175.01,0.05,华南,直播带货,微信支付,5.0,4
ORD202400326,2024-11-26,服装鞋帽,牛仔裤,164.91,1,156.66,0.05,华北,直播带货,微信支付,4.0,3
ORD202400327,2024-04-06,食品饮料,咖啡豆,66.82,1,60.14,0.1,华南,线上商城,微信支付,4.6,3
ORD202400328,2024-02-22,家居用品,吸尘器,798.42,2,1596.84,0.0,华东,线上商城,支付宝,5.0,1
ORD202400329,2024-01-17,家居用品,吸尘器,650.11,3,1950.33,0.0,华北,线上商城,银行卡,,2
ORD202400330,2024-07-16,美妆个护,电动牙刷,212.55,5,1062.75,0.0,华北,直播带货,微信支付,4.0,4
ORD202400331,2024-11-18,美妆个护,防晒霜,95.6,1,86.04,0.1,华东,线下门店,银行卡,5.0,2
ORD202400332,2024-05-21,服装鞋帽,牛仔裤,195.61,1,195.61,0.0,华南,直播带货,微信支付,4.8,4
ORD202400333,2024-06-22,食品饮料,坚果礼盒,76.38,2,122.21,0.2,西南,线上商城,支付宝,3.5,5
ORD202400334,2024-04-08,电子产品,充电宝,114.89,1,114.89,0.0,华北,线上商城,支付宝,4.7,2
ORD202400335,2024-05-20,食品饮料,进口零食包,74.21,2,148.42,0.0,华北,线上商城,微信支付,4.9,2
ORD202400336,2024-01-10,服装鞋帽,T恤,85.54,1,85.54,0.0,华南,线上商城,微信支付,4.9,2
ORD202400337,2024-11-24,家居用品,空气炸锅,382.64,1,363.51,0.05,华东,线上商城,支付宝,4.9,2
ORD202400338,2024-11-15,美妆个护,香水,363.18,1,363.18,0.0,华东,线下门店,微信支付,3.9,3
ORD202400339,2024-07-31,食品饮料,坚果礼盒,96.54,1,96.54,0.0,华南,线下门店,支付宝,5.0,3
ORD202400340,2024-04-08,服装鞋帽,运动鞋,347.14,4,1249.7,0.1,西南,直播带货,微信支付,3.4,4
ORD202400341,2024-10-08,服装鞋帽,T恤,82.73,1,74.46,0.1,华中,线下门店,微信支付,3.6,5
ORD202400342,2024-06-14,服装鞋帽,帽子,55.75,1,44.6,0.2,华中,线上商城,货到付款,5.0,2
ORD202400343,2024-09-22,电子产品,智能手表,937.17,5,4685.85,0.0,西南,线上商城,银行卡,4.2,3
ORD202400344,2024-03-20,电子产品,充电宝,114.8,1,109.06,0.05,华中,线上商城,支付宝,5.0,3
ORD202400345,2024-06-15,美妆个护,洗发水,59.79,4,191.33,0.2,西南,线上商城,微信支付,3.9,5
ORD202400346,2024-06-20,家居用品,记忆枕,146.24,3,416.78,0.05,西南,线下门店,货到付款,4.0,3
ORD202400347,2024-10-16,电子产品,笔记本电脑,6144.12,1,5529.71,0.1,东北,直播带货,微信支付,3.9,5
ORD202400348,2024-08-31,服装鞋帽,羽绒服,527.51,1,474.76,0.1,华北,直播带货,支付宝,4.6,4
ORD202400349,2024-11-11,食品饮料,进口零食包,60.98,1,51.83,0.15,华东,线下门店,支付宝,4.3,2
ORD202400350,2024-01-13,美妆个护,洗发水,68.78,2,123.8,0.1,华南,线上商城,货到付款,5.0,3
ORD202400351,2024-01-28,家居用品,台灯,101.52,3,289.33,0.05,华东,直播带货,支付宝,5.0,2
ORD202400352,2024-09-24,美妆个护,防晒霜,94.52,2,189.04,0.0,华南,直播带货,支付宝,3.8,4
ORD202400353,2024-12-22,服装鞋帽,羽绒服,514.53,4,2058.12,0.0,华北,线上商城,银行卡,4.0,2
ORD202400354,2024-04-28,食品饮料,进口零食包,75.44,1,71.67,0.05,华北,直播带货,支付宝,5.0,4
ORD202400355,2024-09-28,家居用品,记忆枕,145.2,1,137.94,0.05,华南,线上商城,支付宝,3.6,5
ORD202400356,2024-07-17,食品饮料,坚果礼盒,99.73,4,398.92,0.0,华东,线下门店,微信支付,4.8,3
ORD202400357,2024-04-26,服装鞋帽,帽子,49.27,5,234.03,0.05,华北,线上商城,微信支付,4.6,1
ORD202400358,2024-09-25,食品饮料,橄榄油,112.57,5,562.85,0.0,华南,线上商城,支付宝,4.4,4
ORD202400359,2024-03-15,美妆个护,香水,467.9,1,421.11,0.1,华东,直播带货,银行卡,4.4,2
ORD202400360,2024-01-14,美妆个护,防晒霜,98.33,2,196.66,0.0,华南,线上商城,支付宝,4.5,4
ORD202400361,2024-11-28,家居用品,记忆枕,149.62,1,142.14,0.05,华东,线上商城,货到付款,3.3,4
ORD202400362,2024-04-14,电子产品,充电宝,133.22,1,126.56,0.05,华中,线下门店,微信支付,3.9,3
ORD202400363,2024-10-19,服装鞋帽,帽子,57.33,2,114.66,0.0,华北,线上商城,银行卡,4.1,5
ORD202400364,2024-10-12,服装鞋帽,羽绒服,471.62,1,448.04,0.05,西南,线上商城,支付宝,5.0,3
ORD202400365,2024-11-26,服装鞋帽,帽子,48.62,3,116.69,0.2,华东,线上商城,微信支付,5.0,2
ORD202400366,2024-05-08,家居用品,吸尘器,799.13,1,799.13,0.0,华南,直播带货,支付宝,3.8,3
ORD202400367,2024-10-08,服装鞋帽,运动鞋,382.05,2,764.1,0.0,华东,线上商城,微信支付,4.7,3
ORD202400368,2024-04-02,电子产品,蓝牙耳机,295.91,1,281.11,0.05,华东,线上商城,微信支付,4.4,2
ORD202400369,2024-08-20,服装鞋帽,羽绒服,535.79,1,509.0,0.05,华南,线上商城,银行卡,4.6,3
ORD202400370,2024-12-07,服装鞋帽,帽子,51.67,4,206.68,0.0,华东,线下门店,支付宝,5.0,2
ORD202400371,2024-08-21,美妆个护,香水,474.37,1,450.65,0.05,华东,线下门店,银行卡,4.0,2
ORD202400372,2024-05-20,家居用品,记忆枕,151.11,2,302.22,0.0,华东,直播带货,微信支付,4.1,4
ORD202400373,2024-05-27,服装鞋帽,T恤,73.3,2,139.27,0.05,华中,直播带货,微信支付,4.0,3
ORD202400374,2024-05-28,食品饮料,坚果礼盒,77.92,1,77.92,0.0,华南,线上商城,微信支付,4.6,3
ORD202400375,2024-11-23,家居用品,保温杯,60.21,1,54.19,0.1,华北,线上商城,支付宝,4.4,2
ORD202400376,2024-03-30,家居用品,保温杯,73.23,1,65.91,0.1,西南,直播带货,微信支付,3.8,3
ORD202400377,2024-07-30,食品饮料,坚果礼盒,96.85,1,92.01,0.05,华北,线上商城,微信支付,5.0,2
ORD202400378,2024-01-16,家居用品,记忆枕,155.69,3,420.36,0.1,华东,线上商城,微信支付,5.0,1
ORD202400379,2024-05-01,家居用品,保温杯,59.46,1,59.46,0.0,华北,线上商城,支付宝,4.9,3
ORD202400380,2024-06-23,食品饮料,进口零食包,62.25,1,62.25,0.0,西南,线下门店,微信支付,4.7,4
ORD202400381,2024-01-03,家居用品,空气炸锅,401.32,2,802.64,0.0,华东,线下门店,支付宝,4.2,2
ORD202400382,2024-04-17,家居用品,吸尘器,701.98,1,631.78,0.1,华南,线上商城,支付宝,4.5,5
ORD202400383,2024-10-08,家居用品,吸尘器,849.74,3,2549.22,0.0,华东,线上商城,银行卡,5.0,2
ORD202400384,2024-07-15,电子产品,充电宝,116.11,2,209.0,0.1,华南,线上商城,微信支付,3.8,3
ORD202400385,2024-08-26,服装鞋帽,羽绒服,568.8,4,2047.68,0.1,华东,线上商城,微信支付,4.4,2
ORD202400386,2024-05-12,食品饮料,橄榄油,88.69,4,337.02,0.05,西南,线下门店,微信支付,4.2,4
ORD202400387,2024-06-27,服装鞋帽,运动鞋,340.81,1,340.81,0.0,华东,直播带货,微信支付,4.9,2
ORD202400388,2024-09-03,服装鞋帽,T恤,72.09,2,129.76,0.1,西南,线上商城,微信支付,4.4,3
ORD202400389,2024-10-20,食品饮料,坚果礼盒,90.43,1,90.43,0.0,西南,线上商城,货到付款,4.2,4
ORD202400390,2024-09-10,美妆个护,面膜礼盒,114.03,3,342.09,0.0,西南,直播带货,微信支付,4.8,4
ORD202400391,2024-06-02,服装鞋帽,T恤,88.92,4,320.11,0.1,西北,直播带货,微信支付,4.0,4
ORD202400392,2024-01-28,电子产品,笔记本电脑,6358.11,1,6040.2,0.05,华中,线上商城,微信支付,5.0,2
ORD202400393,2024-12-05,家居用品,吸尘器,679.85,1,611.87,0.1,西南,线上商城,货到付款,4.1,3
ORD202400394,2024-09-06,美妆个护,洗发水,52.52,2,94.54,0.1,华中,线下门店,微信支付,3.8,4
ORD202400395,2024-07-15,家居用品,吸尘器,733.07,1,659.76,0.1,西南,线上商城,微信支付,4.9,3
ORD202400396,2024-12-26,家居用品,台灯,89.5,2,170.05,0.05,华南,线上商城,银行卡,3.9,3
ORD202400397,2024-05-05,服装鞋帽,羽绒服,548.72,1,521.28,0.05,华南,线下门店,微信支付,4.1,4
ORD202400398,2024-06-29,食品饮料,红茶礼盒,103.04,1,82.43,0.2,西南,直播带货,微信支付,3.9,5
ORD202400399,2024-11-15,电子产品,充电宝,104.97,1,94.47,0.1,华东,直播带货,支付宝,5.0,3
ORD202400400,2024-12-03,服装鞋帽,运动鞋,315.65,2,536.6,0.15,华东,线上商城,支付宝,3.8,4
ORD202400401,2024-07-30,美妆个护,洗发水,62.89,2,125.78,0.0,华东,直播带货,支付宝,4.3,2
ORD202400402,2024-06-03,服装鞋帽,帽子,50.61,2,86.04,0.15,华北,线上商城,银行卡,4.2,4
ORD202400403,2024-12-15,食品饮料,坚果礼盒,99.03,2,168.35,0.15,华南,直播带货,支付宝,5.0,3
ORD202400404,2024-12-11,美妆个护,防晒霜,102.71,1,97.57,0.05,华东,线上商城,支付宝,4.6,3
ORD202400405,2024-05-25,家居用品,空气炸锅,325.7,1,325.7,0.0,东北,直播带货,微信支付,3.9,6
ORD202400406,2024-10-16,食品饮料,咖啡豆,83.91,2,159.43,0.05,华东,直播带货,支付宝,5.0,1
ORD202400407,2024-06-14,家居用品,空气炸锅,354.61,1,301.42,0.15,华东,线上商城,货到付款,5.0,2
ORD202400408,2024-04-01,美妆个护,面膜礼盒,116.11,2,232.22,0.0,华南,线上商城,微信支付,4.7,3
ORD202400409,2024-01-10,食品饮料,咖啡豆,78.44,1,78.44,0.0,华南,线上商城,微信支付,3.7,4
ORD202400410,2024-08-11,服装鞋帽,羽绒服,526.26,1,473.63,0.1,华东,线上商城,货到付款,5.0,2
ORD202400411,2024-07-06,服装鞋帽,T恤,69.06,1,65.61,0.05,华南,线上商城,支付宝,4.8,3
ORD202400412,2024-07-02,服装鞋帽,牛仔裤,192.71,1,192.71,0.0,华东,线下门店,支付宝,5.0,1
ORD202400413,2024-08-18,食品饮料,坚果礼盒,75.78,1,75.78,0.0,华北,线上商城,微信支付,4.8,1
ORD202400414,2024-04-29,食品饮料,坚果礼盒,94.22,1,94.22,0.0,华北,线下门店,支付宝,4.7,2
ORD202400415,2024-02-19,服装鞋帽,运动鞋,374.21,1,374.21,0.0,华东,直播带货,微信支付,4.7,3
ORD202400416,2024-07-24,家居用品,台灯,91.24,1,91.24,0.0,西南,直播带货,支付宝,4.3,4
ORD202400417,2024-08-12,家居用品,台灯,77.6,1,69.84,0.1,西南,线上商城,微信支付,4.1,4
ORD202400418,2024-08-01,美妆个护,电动牙刷,243.27,1,231.11,0.05,华北,线上商城,货到付款,4.9,2
ORD202400419,2024-11-17,食品饮料,红茶礼盒,104.98,1,99.73,0.05,华东,线下门店,货到付款,4.1,1
ORD202400420,2024-11-16,美妆个护,香水,363.69,1,345.51,0.05,华南,线下门店,微信支付,4.6,4
ORD202400421,2024-08-10,家居用品,台灯,98.24,2,196.48,0.0,华东,线上商城,微信支付,5.0,2
ORD202400422,2024-08-15,服装鞋帽,T恤,77.08,2,146.45,0.05,华东,线上商城,支付宝,5.0,2
ORD202400423,2024-10-26,服装鞋帽,牛仔裤,160.83,4,578.99,0.1,华东,线上商城,微信支付,5.0,2
ORD202400424,2024-10-18,电子产品,蓝牙耳机,229.67,1,206.7,0.1,华东,线上商城,银行卡,4.5,1
ORD202400425,2024-10-10,食品饮料,坚果礼盒,85.67,1,85.67,0.0,华南,线下门店,支付宝,3.7,3
ORD202400426,2024-10-29,食品饮料,进口零食包,73.89,1,73.89,0.0,华东,线上商城,微信支付,4.7,3
ORD202400427,2024-08-19,服装鞋帽,羽绒服,529.12,1,476.21,0.1,东北,线上商城,支付宝,3.9,4
ORD202400428,2024-10-19,美妆个护,面膜礼盒,148.58,1,148.58,0.0,华中,线上商城,微信支付,5.0,2
ORD202400429,2024-12-19,家居用品,空气炸锅,356.81,2,570.9,0.2,华北,直播带货,微信支付,4.0,5
ORD202400430,2024-12-11,家居用品,空气炸锅,335.65,1,268.52,0.2,华东,线上商城,微信支付,4.2,2
ORD202400431,2024-10-03,电子产品,充电宝,128.55,2,257.1,0.0,西南,直播带货,支付宝,3.3,5
ORD202400432,2024-08-19,服装鞋帽,帽子,60.44,1,57.42,0.05,华北,线上商城,微信支付,3.7,2
ORD202400433,2024-02-14,电子产品,蓝牙耳机,243.49,4,973.96,0.0,华东,线上商城,支付宝,5.0,2
ORD202400434,2024-12-15,服装鞋帽,运动鞋,337.34,1,337.34,0.0,华东,线上商城,银行卡,5.0,2
ORD202400435,2024-11-26,美妆个护,电动牙刷,236.44,2,378.3,0.2,华北,线上商城,支付宝,4.1,3
ORD202400436,2024-01-25,电子产品,智能手表,1085.46,1,1085.46,0.0,华南,线上商城,货到付款,3.4,4
ORD202400437,2024-01-22,食品饮料,进口零食包,58.6,1,58.6,0.0,华东,直播带货,微信支付,4.5,3
ORD202400438,2024-03-03,食品饮料,橄榄油,110.67,2,199.21,0.1,华中,线上商城,货到付款,4.8,2
ORD202400439,2024-10-20,美妆个护,防晒霜,101.51,4,385.74,0.05,华南,直播带货,银行卡,4.6,4
ORD202400440,2024-08-16,家居用品,保温杯,56.32,2,112.64,0.0,西南,直播带货,支付宝,4.1,5
ORD202400441,2024-07-20,家居用品,保温杯,67.01,1,67.01,0.0,华中,线上商城,支付宝,4.2,3
ORD202400442,2024-08-16,食品饮料,坚果礼盒,80.49,3,217.32,0.1,西南,线上商城,微信支付,4.0,4
ORD202400443,2024-02-14,电子产品,智能手表,1091.62,3,3111.12,0.05,华东,线下门店,微信支付,4.8,3
ORD202400444,2024-12-29,服装鞋帽,运动鞋,309.32,3,835.16,0.1,华北,线上商城,银行卡,4.0,3
ORD202400445,2024-01-02,电子产品,智能手表,1250.49,3,3376.32,0.1,华东,直播带货,支付宝,5.0,3
ORD202400446,2024-09-09,食品饮料,坚果礼盒,90.61,1,81.55,0.1,华南,线下门店,微信支付,5.0,2
ORD202400447,2024-05-12,家居用品,空气炸锅,339.66,1,339.66,0.0,华北,线上商城,支付宝,4.1,1
ORD202400448,2024-02-09,服装鞋帽,运动鞋,367.0,2,734.0,0.0,华北,线下门店,银行卡,4.6,2
ORD202400449,2024-10-23,家居用品,吸尘器,640.4,1,608.38,0.05,西南,线上商城,货到付款,4.4,4
ORD202400450,2024-10-13,服装鞋帽,帽子,60.71,2,121.42,0.0,华北,线下门店,支付宝,4.6,3
ORD202400451,2024-08-14,食品饮料,进口零食包,66.46,5,332.3,0.0,华南,线上商城,微信支付,5.0,3
ORD202400452,2024-03-07,食品饮料,橄榄油,103.61,3,310.83,0.0,华东,线上商城,微信支付,5.0,2
ORD202400453,2024-05-09,电子产品,智能手表,1155.3,2,2310.6,0.0,华中,线上商城,银行卡,5.0,3
ORD202400454,2024-10-23,家居用品,吸尘器,829.91,3,2489.73,0.0,华北,线上商城,微信支付,3.9,3
ORD202400455,2024-10-02,电子产品,智能手机,3607.26,4,12986.14,0.1,华北,直播带货,微信支付,4.0,4
ORD202400456,2024-04-26,服装鞋帽,T恤,70.08,1,70.08,0.0,华北,线上商城,支付宝,4.8,2
ORD202400457,2024-06-08,美妆个护,电动牙刷,211.09,1,179.43,0.15,华东,线上商城,银行卡,5.0,1
ORD202400458,2024-02-23,服装鞋帽,帽子,57.62,1,57.62,0.0,华北,直播带货,货到付款,3.5,3
ORD202400459,2024-04-12,服装鞋帽,牛仔裤,159.63,3,431.0,0.1,华东,直播带货,微信支付,5.0,2
ORD202400460,2024-11-04,食品饮料,橄榄油,98.34,1,83.59,0.15,华东,线上商城,微信支付,4.6,2
ORD202400461,2024-12-13,电子产品,蓝牙耳机,250.85,2,476.61,0.05,华东,直播带货,微信支付,4.3,2
ORD202400462,2024-09-11,服装鞋帽,T恤,80.01,3,240.03,0.0,东北,线上商城,微信支付,3.4,5
ORD202400463,2024-01-17,家居用品,保温杯,72.5,1,65.25,0.1,华东,直播带货,微信支付,4.6,4
ORD202400464,2024-08-31,服装鞋帽,运动鞋,340.68,1,306.61,0.1,华南,线上商城,微信支付,4.1,3
ORD202400465,2024-07-06,家居用品,台灯,77.23,4,293.47,0.05,华北,线上商城,货到付款,5.0,2
ORD202400466,2024-02-13,食品饮料,坚果礼盒,97.74,1,97.74,0.0,华东,线上商城,微信支付,4.1,3
ORD202400467,2024-10-28,电子产品,智能手表,1059.65,1,1059.65,0.0,西南,线上商城,微信支付,5.0,3
ORD202400468,2024-07-05,食品饮料,咖啡豆,74.93,3,224.79,0.0,西南,线上商城,支付宝,3.7,6
ORD202400469,2024-02-17,美妆个护,防晒霜,83.45,1,83.45,0.0,华南,线上商城,微信支付,4.7,3
